"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"1",8,-24039,-23420.3,-23594,-19118.7,-22890.2,-16213.8,-17263.2,-9845.81,-9937.02,-24121.3433100402,-23493.8893246677,-23670.102261741,-19151.7455460953,-22957.318877794,-16237.6779266546,-17289.527351104,-9863.77890340758,-9965.18853881172
"2",3,-12882.2,-12901.8,-9630.84,-12897.4,-9653.63,-12908.9,-9656.61,-9676.8,-9696.36,-12897.6734194848,-12925.7932364792,-9646.27012882506,-12919.8199932893,-9673.96022046754,-12937.4637128439,-9675.44332188072,-9701.08434550933,-9727.23286519121
"3",2,-14310.7,-9711.52,-14320,-14322.9,-9728.06,-9733.75,-14326.8,-9746.8,-9760.06,-14327.6432648718,-9726.88118798696,-14342.3442652231,-14346.7099724834,-9745.68638411087,-9752.41803069729,-14353.3409119341,-9766.74611377301,-9786.46370432059
"4",4,-20948.6,-20959.3,-20956.6,-9692.09,-20962,-9724.37,-9716.05,-9743.23,-9760.48,-20991.5744338747,-21006.2933461029,-21003.0065137418,-9707.35304810618,-21010.1175110583,-9743.45808635353,-9733.56755213576,-9764.87659933652,-9788.38453402324
"5",1,-9570.99,-9593.67,-9584.68,-9588.18,-9599.6,-9602.43,-9594.87,-9606.5,-9607.52,-9585.22042286894,-9617.44923333834,-9605.51225758919,-9609.93517040561,-9627.12988549775,-9630.46365598344,-9619.91311841769,-9636.99389808933,-9639.40347784373
"6",7,-13891,-13911.3,-13698.8,-10335.7,-13727.5,-10372.8,-9775.28,-9810.04,-9837.42,-13908.2311994612,-13936.7199208576,-13717.1657959558,-10351.8306048946,-13750.8275886116,-10392.9532209741,-9792.0770152139,-9830.57388381038,-9867.47122248475
"7",5,-28191.9,-21090.5,-27526.5,-28192.5,-9815.62,-21090.7,-27529.9,-9844.19,-9883.32,-28400.1898121115,-21135.9002758572,-27704.7702009582,-28401.7222613155,-9832.1525188888,-21138.847729298,-27709.3025240264,-9862.58046084889,-9910.53202867997
"8",3,-11016.1,-11033.6,-9570.6,-11031.3,-9605.47,-11041.8,-9600.09,-9632.2,-9647.17,-11030.7523285905,-11057.9276018069,-9586.09774766382,-11052.9178753933,-9625.30994274276,-11069.6075019916,-9617.62603982013,-9655.16978483224,-9675.90430523052
"9",6,-21538.5,-20238.9,-21544.8,-17280.6,-20248.8,-9891.3,-17292.4,-9914.46,-9953.7,-21586.7649397619,-20277.5948234403,-21596.4411391264,-17305.6251459996,-20289.6315687821,-9908.03972132594,-17319.5973088163,-9933.33153276591,-9981.61320428286
"10",5,-21359.3,-10844.2,-21307.3,-21359.2,-9775.88,-10855.6,-21310.1,-9798.01,-9834.03,-21406.137634939,-10858.7828663442,-21355.0904128184,-21407.9409981496,-9791.9380574897,-10872.258414934,-21358.8007187108,-9814.735841051,-9855.50217867591
"11",9,-27270.6,-23162.5,-27139.8,-27134.7,-22764,-22729.9,-26998.3,-22277.7,-10238.6,-27439.4638658169,-23231.0461816799,-27304.7422646116,-27298.9122101225,-22828.150304579,-22793.4706666795,-27158.2301617566,-22337.0144126048,-10257.7834149282
"12",1,-9587.33,-9610.55,-9607,-9609.1,-9619.42,-9620.95,-9618.06,-9627.18,-9628.92,-9600.74008719408,-9634.04076768797,-9627.68818986721,-9630.91503478153,-9646.84229968086,-9649.02589450464,-9644.5375944642,-9658.28741277018,-9661.92079545459
"13",8,-23244.2,-22379.1,-20463,-22085.7,-18415.9,-20862.2,-17580.8,-9832.68,-9941.35,-23313.0064386489,-22437.581247478,-20503.4900894812,-22141.2168231906,-18445.5164197827,-20906.7973272024,-17607.6019230175,-9850.05732657434,-9970.50763499285
"14",7,-15874,-15887.8,-12006.7,-15195.4,-12040.2,-15220.1,-9688.85,-9730.1,-9760.3,-15893.6299620016,-15914.0246679228,-12022.7726382793,-15214.958622079,-12059.9726787044,-15243.1965688255,-9704.71510846916,-9749.36377612762,-9787.19581086249
"15",8,-22566.7,-21504,-22558.3,-17685.1,-21489.1,-10396.5,-17625,-9832.59,-9928.44,-22626.7020146846,-21553.375284768,-22619.460909949,-17711.1865414891,-21539.5944904852,-10413.4871907036,-17652.3635314748,-9850.52655944702,-9957.57994413109
"16",1,-9635.48,-9654.61,-9649.04,-9646.48,-9661.14,-9658.25,-9652.73,-9663.29,-9663.78,-9649.04570999432,-9677.00127417826,-9668.00280752602,-9665.51800794292,-9686.19320494316,-9683.60705355932,-9675.05268195108,-9690.19882279494,-9691.74254369269
"17",8,-21359.7,-16964.4,-21328.3,-20204.7,-16830.8,-10719.7,-20157.3,-9837.64,-9947.84,-21406.3762777513,-16988.3309091457,-21376.2023189534,-20243.3707788141,-16855.3284574418,-10736.4913053785,-20196.5958988794,-9855.44121826714,-9977.28395868256
"18",4,-15714.5,-15725.8,-15720.4,-9598.01,-15726.9,-9625.82,-9612.02,-9632.94,-9645.32,-15734.08233746,-15751.0046661616,-15742.8400275527,-9613.10289536985,-15753.6875916987,-9644.47018662124,-9628.82785269096,-9652.4663989227,-9668.53271757072
